nodeId,birthday,education;classes;id,education;concentration;id,education;degree;id,education;school;id,education;type,education;with;id,education;year;id,first_name,gender,hometown;id,languages;id,last_name,locale,location;id,work;employer;id,work;end_date,work;location;id,work;position;id,work;start_date,work;with;id
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,78,-1,-1,-1,127,-1,-1,-1,-1,-1,-1,-1
2,-1,-1,-1,-1,52,55,-1,72,-1,78,-1,103,124,127,138,-1,-1,-1,-1,-1,-1
3,7,-1,19,-1,52,55,-1,72,-1,78,-1,103,-1,127,138,-1,172,138,-1,204,-1
4,-1,-1,-1,-1,52,55,56,-1,-1,78,-1,-1,-1,127,-1,-1,-1,-1,-1,-1,-1
5,-1,-1,-1,-1,52,55,-1,72,-1,78,-1,-1,-1,127,-1,-1,-1,-1,-1,-1,-1
6,7,-1,-1,-1,-1,55,-1,72,-1,78,-1,-1,124,127,-1,-1,172,-1,-1,204,-1
7,-1,-1,19,-1,52,55,-1,72,-1,78,-1,-1,124,127,138,156,-1,-1,-1,204,-1
8,-1,-1,-1,-1,-1,-1,-1,-1,-1,78,-1,-1,-1,127,-1,-1,-1,-1,-1,-1,-1
9,-1,-1,-1,-1,-1,-1,-1,-1,-1,78,-1,-1,-1,127,-1,-1,-1,-1,-1,-1,-1
10,7,-1,19,-1,52,55,-1,72,-1,78,-1,-1,-1,127,138,156,172,-1,-1,204,-1
11,-1,-1,-1,-1,-1,-1,-1,-1,-1,78,-1,-1,-1,127,-1,-1,-1,-1,-1,-1,-1
12,-1,-1,-1,-1,52,55,-1,-1,-1,78,-1,-1,-1,127,-1,-1,-1,-1,-1,-1,-1
13,7,-1,-1,-1,52,55,-1,72,-1,78,-1,103,-1,127,138,-1,-1,-1,-1,-1,-1
14,-1,-1,-1,-1,52,55,-1,-1,-1,78,-1,-1,124,127,-1,-1,172,138,-1,-1,-1
15,-1,-1,-1,-1,52,55,-1,-1,-1,78,-1,-1,-1,127,-1,-1,-1,-1,-1,204,-1
16,7,-1,-1,-1,52,55,-1,72,-1,78,-1,-1,-1,127,138,156,-1,-1,-1,-1,-1
17,7,-1,-1,-1,52,55,-1,-1,-1,78,-1,-1,-1,127,138,-1,172,138,-1,-1,-1
18,-1,-1,-1,23,52,55,-1,72,-1,78,-1,-1,-1,127,-1,-1,-1,-1,-1,-1,-1
19,-1,-1,19,-1,52,55,-1,72,-1,78,89,-1,-1,127,-1,-1,-1,-1,-1,-1,-1
20,7,-1,-1,-1,-1,55,-1,72,-1,78,-1,-1,-1,127,-1,-1,-1,-1,-1,204,-1
21,7,-1,-1,-1,-1,-1,-1,-1,-1,78,-1,103,-1,127,-1,-1,-1,-1,-1,-1,-1
22,-1,-1,19,-1,52,55,-1,72,-1,78,-1,-1,-1,127,-1,-1,-1,-1,-1,-1,-1
23,-1,-1,-1,-1,52,55,-1,72,-1,78,-1,-1,-1,127,138,-1,-1,-1,-1,-1,-1
24,-1,-1,19,-1,52,55,-1,72,-1,78,-1,-1,124,127,138,-1,-1,138,-1,204,-1
25,-1,-1,19,-1,52,55,-1,72,-1,78,-1,-1,-1,127,138,156,172,138,193,204,-1
26,-1,-1,-1,-1,-1,-1,-1,-1,-1,78,-1,-1,-1,127,-1,-1,-1,-1,-1,-1,-1
